编号,公司/单位,采样/报告时间,猪种,世代划分/特殊处理,耳号,性别/阉割,日龄,体重kg,切肉重, 倒数三四膘厚,胴体全重,计算半胴体重（kg）,左胴体重,右胴体重,半胴体重差值（kg）,前腿重（kg),背腰重（kg）,后腿重（kg）,左侧胴体合计,后腿比例,前腿骨（kg）,前腿肉（kg）,前腿皮脂（kg）,背腰骨（kg）,背腰肉（kg）,背腰皮脂（kg）,后腿骨（kg）,后腿肉（kg）,后腿皮脂（kg）,腿臀重（kg）,腿臀骨重,腿臀肉重,腿臀皮重,骨（kg）,肉（kg）,皮重,皮脂（kg）,屠宰率,体长cm,胴体（斜）长,管围,臀围,体高（cm）,6-7肋处,胸腰结合处,腰荐结合处,肩部最厚处,平均膘厚,6-7肋皮厚mm,眼肌高cm,眼肌宽cm,面积cm2,眼肌厚度（cm2）,板油重kg,瘦肉率1（半胴体）,瘦肉率%,,皮脂率%,骨  率%,腿臀比%,心（kg）,肝（kg）,脾（kg）,肺（kg）,肾（kg）,睾丸（双）,胃加大肠（kg）,内脏总重（kg）,目距（kg）,（半）板油（kg）,板油重kg,肾加板油（kg）,头（kg）,前蹄（kg）,后蹄（kg）,睾丸（kg）,腰肌重（kg）,眼肌重（kg）,肋排（kg）,槽头肉（kg）,梅花（kg）,半腱、半膜（kg）,胸围（cm）,胸宽,胸深,腹围（cm）,背膘厚(mm),耳长（cm),耳宽（cm),头长（cm),头高（cm),嘴长（cm),吻高（cm),吻宽（cm),两眼间内间距,下眼眶至吻突,小肠长（cm),乳头数(对),颈椎长度（cm）,颈椎数目,胸椎长度（cm）,胸椎数目,第1胸椎棘突高cm,腰椎长度（cm）,腰椎数目,第1腰椎棘突高cm,6-7肋肋弓宽cm,肋骨（根）,眼肌pH45min,眼肌pH24h,眼肌pH48h,眼肌pH72h,眼肌pH96h,腰肌pH45min,腰肌pH24h,腰肌pH48h,腰肌pH72h,腰肌pH96h,眼肌肉色L值45min,眼肌肉色a值45min,眼肌肉色b值45min,眼肌肉色L值24h,眼肌肉色a值24h,眼肌肉色b值24h,眼肌肉色L值48h,眼肌肉色a值48h,眼肌肉色b值48h,眼肌肉色L值72h,眼肌肉色a值72h,眼肌肉色b值72h,眼肌肉色L值96h,眼肌肉色a值96h,眼肌肉色b值96h,腰肌肉色L值45min,腰肌肉色a值45min,腰肌肉色b值45min,腰肌肉色L值24h,腰肌肉色a值24h,腰肌肉色b值24h,腰肌肉色L值48h,腰肌肉色a值48h,腰肌肉色b值48h,腰肌肉色L值72h,腰肌肉色a值72h,腰肌肉色b值72h,腰肌肉色L值96h,腰肌肉色a值96h,腰肌肉色b值96h,嫩度(眼),韧性(眼),嫩度(腰),韧性(腰),滴水损失(眼),滴水损失(腰),压水(眼),压水(腰),大理石纹(眼),大理石纹(腰),眼肌力度,眼肌韧度(kg. sec),腰肌力度,腰肌韧度(kg. sec)
913,绵阳明兴,2023.10.,LL,,,公,,114.00 ,,,80.55 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.50 ,83.50 ,17.50 ,113,,2.00 ,1.35 ,1.20 ,3.10 ,1.88 ,,,,,,,,,,,,,0.45,1.74,0.17,0.985,0.425,,,,,,0.72,,,,,,,,,,,,97.5,25.5,30,,,18.8,16.5,27.3,26.5,10.1,8.2,6.8,,,,,,,,,,,,,,,6.14 ,5.84 ,5.71 ,,,5.94 ,6.10 ,5.94 ,,,42.49 ,5.35 ,2.70 ,48.72 ,6.44 ,3.22 ,52.62 ,7.15 ,4.19 ,,,,,,,40.78 ,12.93 ,4.49 ,41.97 ,16.44 ,6.44 ,46.13 ,14.03 ,6.39 ,,,,,,,,,,,,,,,,,,,,
914,绵阳明兴,2023.10.,YY,,,公,,126.00 ,,,89.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.00 ,85.50 ,18.50 ,114,,2.40 ,1.40 ,1.00 ,4.00 ,2.13 ,,,,,,,,,,,,,0.47,2.44,0.175,1.325,0.635,,,,,,0.7,,,,,,,,,,,,106.5,26,30.5,,,18,13.9,27.3,28,12.9,8.6,7.2,,,,,,,,,,,,,,,5.76 ,5.78 ,5.67 ,,,5.96 ,5.71 ,5.49 ,,,41.48 ,6.44 ,3.76 ,51.12 ,8.28 ,5.25 ,57.18 ,6.12 ,3.90 ,,,,,,,41.08 ,14.24 ,5.17 ,38.65 ,16.56 ,6.76 ,41.48 ,16.27 ,6.17 ,,,,,,,,,,,,,,,,,,,,
915,绵阳明兴,2023.10.,YY,,,公,,104.00 ,,,72.24 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.50 ,82.00 ,18.00 ,110,,1.10 ,1.40 ,0.40 ,3.20 ,1.67 ,,,,,,,,,,,,,0.38,1.675,0.175,1.07,0.375,,,,,,0.46,,,,,,,,,,,,94.5,24.5,29,,,16.5,14.8,28.8,26.6,10.7,7.6,5.8,,,,,,,,,,,,,,,6.27 ,5.71 ,5.64 ,,,5.55 ,5.86 ,5.82 ,,,41.48 ,5.62 ,2.88 ,53.27 ,6.90 ,4.59 ,57.44 ,7.15 ,5.76 ,,,,,,,39.74 ,15.76 ,5.44 ,46.18 ,18.62 ,8.43 ,46.74 ,15.51 ,6.91 ,,,,,,,,,,,,,,,,,,,,
916,绵阳明兴,2023.10.,YY,,,公,,136.00 ,,,95.91 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.00 ,87.50 ,19.50 ,122,,1.55 ,1.10 ,0.60 ,3.20 ,1.63 ,,,,,,,,,,,,,0.465,2.115,0.225,1.22,0.455,,,,,,0.555,,,,,,,,,,,,105.5,26,31,,,17.3,15.4,29.1,27.3,10.4,8.1,6.2,,,,,,,,,,,,,,,5.92 ,5.59 ,5.61 ,,,5.64 ,5.67 ,5.49 ,,,43.77 ,4.60 ,2.13 ,54.14 ,8.77 ,5.87 ,57.45 ,9.30 ,6.87 ,,,,,,,41.40 ,14.23 ,4.39 ,41.84 ,16.51 ,5.97 ,42.98 ,14.23 ,4.70 ,,,,,,,,,,,,,,,,,,,,
917,绵阳明兴,2023.10.,YY,,,公,,137.00 ,,,93.73 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.50 ,82.00 ,19.50 ,125,,1.80 ,1.65 ,1.10 ,3.60 ,2.12 ,,,,,,,,,,,,,0.535,1.94,0.18,1.43,0.56,,,,,,0.765,,,,,,,,,,,,108.5,26.5,30,,,17.9,12.7,29.1,29,12.2,8.5,7.1,,,,,,,,,,,,,,,5.61 ,5.84 ,5.85 ,,,5.49 ,5.62 ,5.50 ,,,44.48 ,5.22 ,2.50 ,50.10 ,7.26 ,4.72 ,50.57 ,6.90 ,3.84 ,,,,,,,40.59 ,14.02 ,4.98 ,38.53 ,16.17 ,7.31 ,41.25 ,15.74 ,5.51 ,,,,,,,,,,,,,,,,,,,,
918,绵阳明兴,2023.10.,YY,,,公,,106.00 ,,,74.44 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.00 ,80.50 ,18.50 ,115,,2.20 ,1.10 ,1.00 ,2.60 ,1.57 ,,,,,,,,,,,,,0.36,1.775,0.255,1.035,0.415,,,,,,0.62,,,,,,,,,,,,97.5,6,30,,,15.6,13.5,27.7,25.5,10.5,7.6,5.8,,,,,,,,,,,,,,,6.07 ,6.02 ,6.15 ,,,5.79 ,5.74 ,5.52 ,,,40.64 ,4.35 ,1.36 ,46.75 ,7.84 ,3.62 ,48.18 ,5.42 ,2.90 ,,,,,,,40.29 ,14.49 ,4.45 ,40.27 ,17.22 ,5.96 ,42.60 ,14.69 ,6.12 ,,,,,,,,,,,,,,,,,,,,
919,绵阳明兴,2023.10.,YY,,,公,,63.00 ,,,38.25 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.50 ,70.00 ,17.00 ,93,,1.10 ,1.40 ,0.40 ,1.20 ,1.00 ,,,,,,,,,,,,,0.245,1.18,0.08,0.63,0.24,,,,,,0.11,,,,,,,,,,,,76.5,20,25,,,16.5,12.8,25.4,24,10.2,8.8,6.6,,,,,,,,,,,,,,,6.56 ,5.57 ,5.77 ,,,6.06 ,5.72 ,5.55 ,,,46.88 ,4.61 ,3.92 ,56.46 ,6.13 ,5.71 ,60.57 ,4.50 ,4.84 ,,,,,,,42.98 ,10.73 ,3.55 ,45.62 ,14.39 ,8.78 ,50.70 ,12.95 ,6.30 ,,,,,,,,,,,,,,,,,,,,
920,绵阳明兴,2023.10.,LL,,,公,,130.00 ,,,90.38 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.00 ,82.00 ,18.50 ,117,,2.85 ,1.20 ,1.10 ,3.30 ,1.87 ,,,,,,,,,,,,,0.49,2.155,0.3,1.275,0.61,,,,,,0.865,,,,,,,,,,,,103.5,26.5,31,,,18.2,15.5,29.1,27.5,10.2,8.6,7.1,,,,,,,,,,,,,,,5.85 ,5.49 ,5.57 ,,,6.16 ,6.00 ,5.84 ,,,41.86 ,6.26 ,3.13 ,49.50 ,8.94 ,5.75 ,55.74 ,6.75 ,5.92 ,,,,,,,38.41 ,13.71 ,4.61 ,39.54 ,14.64 ,5.45 ,40.24 ,15.32 ,6.13 ,,,,,,,,,,,,,,,,,,,,
921,绵阳明兴,2023.10.,YY,,,公,,142.00 ,,,100.60 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.00 ,92.50 ,18.50 ,118,,1.10 ,1.90 ,1.10 ,2.90 ,1.97 ,,,,,,,,,,,,,0.49,1.795,0.185,1.25,0.515,,,,,,0.685,,,,,,,,,,,,104.5,26,32,,,18.1,14.2,29.8,28.5,10.7,8.9,7,,,,,,,,,,,,,,,6.09 ,5.64 ,5.70 ,,,6.34 ,6.53 ,6.42 ,,,41.58 ,5.11 ,1.97 ,51.24 ,7.39 ,4.70 ,53.45 ,7.39 ,5.05 ,,,,,,,42.73 ,14.74 ,5.66 ,39.55 ,17.47 ,7.22 ,43.20 ,16.80 ,7.05 ,,,,,,,,,,,,,,,,,,,,
922,绵阳明兴,2023.10.,YY,,,公,,129.00 ,,,91.79 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.50 ,84.50 ,17.50 ,121,,2.20 ,2.20 ,2.20 ,3.60 ,2.67 ,,,,,,,,,,,,,0.455,2.005,0.245,1.01,0.45,,,,,,0.935,,,,,,,,,,,,104,26.5,31,,,16.1,14.5,27.7,27.5,10.6,8.4,7.1,,,,,,,,,,,,,,,5.88 ,5.63 ,5.70 ,,,6.34 ,6.54 ,6.45 ,,,42.22 ,3.22 ,2.33 ,54.28 ,7.12 ,5.76 ,58.28 ,5.21 ,5.04 ,,,,,,,42.61 ,18.93 ,6.56 ,45.99 ,18.27 ,8.08 ,46.64 ,17.22 ,7.08 ,,,,,,,,,,,,,,,,,,,,
923,绵阳明兴,2023.10.,YY,,,公,,102.00 ,,,68.74 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.00 ,80.00 ,18.00 ,112.5,,缺失数据,,,,,,,,,,,,,,,,,0.415,1.925,0.21,1.15,0.46,,,,,,0.375,,,,,,,,,,,,96.5,26,30,,,16.7,11.9,25.9,26.5,10.8,7.8,6.7,,,,,,,,,,,,,,,5.81 ,5.90 ,5.91 ,,,5.94 ,5.70 ,5.54 ,,,43.91 ,6.81 ,3.01 ,47.26 ,7.75 ,4.54 ,48.23 ,7.46 ,3.71 ,,,,,,,40.55 ,16.87 ,5.82 ,41.60 ,18.15 ,6.86 ,42.63 ,15.55 ,5.77 ,,,,,,,,,,,,,,,,,,,,
924,德康加系种猪,2023.10.9,LL,,,母,,132.00 ,,,104.33 ,,,,,,,,,,,,,,,,,,,,,,,6.34,30.26,,,,,94.00 ,,,,2.8,1.7,1.2,3.7,2.35 ,,,,,,,,,,,,,0.535,1.945,0.25,0.885,0.387,,,,,,1.423,,,,,,,,,,,,,,,,,20.7,13.7,30.5,27.8,11.6,9.3,6.8,,,,,,,,,,,,,,,6.04 ,5.54 ,5.75 ,,,5.94 ,5.66 ,5.50 ,,,44.86 ,5.05 ,4.25 ,53.09 ,5.46 ,4.80 ,56.82 ,4.46 ,5.10 ,,,,,,,44.27 ,7.89 ,5.10 ,46.90 ,11.70 ,7.00 ,48.24 ,11.00 ,5.62 ,,,,,,,,,,,,,,,,,,,,
925,德康加系种猪,2023.10.9,DD,,,母,,112.00 ,,,86.61 ,,,,,,,,,,,,,,,,,,,,,,,5.42,25.84,,,,,86.00 ,,,,3.8,3.1,2,4.4,3.33 ,,,,,,,,,,,,,0.43,1.595,0.125,0.75,0.387,,,,,,1.423,,,,,,,,,,,,,,,,,18.4,13.5,30.5,28,10.7,8.6,7,,,,,,,,,,,,,,,6.40 ,5.64 ,5.69 ,,,,,,,,44.14 ,4.71 ,4.26 ,53.66 ,5.52 ,5.13 ,53.70 ,6.53 ,5.35 ,,,,,,,39.62 ,13.10 ,4.13 ,46.38 ,14.70 ,5.71 ,42.80 ,14.81 ,5.54 ,,,,,,,,,,,,,,,,,,,,
926,德康加系种猪,2023.10.9,LL,,,母,,120.00 ,,,90.01 ,,,,,,,,,,,,,,,,,,,,,,,5.3,25.16,,,,,92.00 ,,,,2.8,2.2,1.5,3.8,2.58 ,,,,,,,,,,,,,0.465,1.825,0.215,0.785,0.387,,,,,,1.423,,,,,,,,,,,,,,,,,17.7,16.6,32,29.4,11.6,9,6.9,,,,,,,,,,,,,,,6.03 ,5.41 ,5.57 ,,,,,,,,44.15 ,3.95 ,3.79 ,53.32 ,4.67 ,4.71 ,58.91 ,5.36 ,6.34 ,,,,,,,44.55 ,10.01 ,3.99 ,37.55 ,9.72 ,3.55 ,40.65 ,11.53 ,3.86 ,,,,,,,,,,,,,,,,,,,,
927,德康加系种猪,2023.10.9,YY,,,母,,112.00 ,,,99.41 ,,,,,,,,,,,,,,,,,,,,,,,5.52,28.48,,,,,92.50 ,,,,3.3,2.5,1.6,4.15,2.89 ,,,,,,,,,,,,,0.49,1.77,0.205,0.69,0.387,,,,,,1.423,,,,,,,,,,,,,,,,,18.4,13.7,29.8,31.2,11.1,8.8,7.8,,,,,,,,,,,,,,,6.23 ,5.47 ,5.49 ,,,,,,,,43.63 ,4.59 ,3.94 ,57.32 ,6.42 ,5.96 ,56.10 ,5.02 ,5.23 ,,,,,,,41.59 ,16.10 ,5.77 ,45.59 ,16.01 ,7.79 ,43.46 ,14.49 ,5.49 ,,,,,,,,,,,,,,,,,,,,
928,德康加系种猪,2023.10.9,LL,,,母,,132.00 ,,,98.41 ,,,,,,,,,,,,,,,,,,,,,,,4.94,21.78,,,,,83.00 ,,,,3.1,2.2,1.6,4.3,2.80 ,,,,,,,,,,,,,0.395,1.565,0.235,0.575,0.387,,,,,,1.423,,,,,,,,,,,,,,,,,19.4,12.4,30.6,30.5,11.6,8.6,7.7,,,,,,,,,,,,,,,5.57 ,5.37 ,5.37 ,,,,,,,,46.26 ,2.85 ,2.60 ,57.20 ,4.31 ,4.75 ,56.76 ,4.28 ,3.60 ,,,,,,,38.93 ,13.13 ,4.43 ,49.18 ,12.71 ,6.71 ,46.18 ,13.19 ,5.31 ,,,,,,,,,,,,,,,,,,,,
929,德康加系种猪,2023.10.9,DD,,,母,,116.00 ,,,85.21 ,,,,,,,,,,,,,,,,,,,,,,,5.68,25.07,,,,,86.00 ,,,,3.1,2,1.2,4.8,2.78 ,,,,,,,,,,,,,0.36,1.605,0.15,0.6,0.387,,,,,,1.423,,,,,,,,,,,,,,,,,17.5,14.6,30.6,32.5,12.3,9.4,7.7,,,,,,,,,,,,,,,5.67 ,5.54 ,5.56 ,,,,,,,,43.64 ,4.44 ,3.69 ,53.50 ,6.23 ,6.63 ,55.86 ,5.95 ,6.98 ,,,,,,,39.08 ,10.88 ,3.94 ,42.57 ,12.30 ,6.09 ,41.45 ,13.28 ,5.17 ,,,,,,,,,,,,,,,,,,,,
930,德康加系种猪,2023.10.9,YY,,,母,,112.00 ,,,83.78 ,,,,,,,,,,,,,,,,,,,,,,,5.14,24.36,,,,,85.00 ,,,,3,2,1.1,4.3,2.60 ,,,,,,,,,,,,,0.4,1.62,0.08,0.68,0.34,,,,,,1.28,,,,,,,,,,,,,,,,,18.5,14,30.5,31.5,11,8.9,6.8,,,,,,,,,,,,,,,5.67 ,5.43 ,5.44 ,,,,,,,,44.53 ,5.53 ,4.36 ,54.32 ,6.57 ,6.18 ,55.03 ,6.08 ,5.91 ,,,,,,,47.60 ,16.04 ,6.86 ,46.81 ,15.99 ,7.84 ,44.44 ,16.47 ,6.10 ,,,,,,,,,,,,,,,,,,,,
931,德康加系种猪,2023.10.9,LL,,,母,,108.00 ,,,79.16 ,,,,,,,,,,,,,,,,,,,,,,,5.26,24.23,,,,,86.00 ,,,,2.5,1.2,0.8,2.8,1.83 ,,,,,,,,,,,,,0.48,1.72,0.28,1.06,0.44,,,,,,1.42,,,,,,,,,,,,,,,,,20.2,12.4,31.6,29.8,10.8,8.8,6.8,,,,,,,,,,,,,,,6.02 ,5.33 ,5.33 ,,,,,,,,45.63 ,3.75 ,3.12 ,55.95 ,4.37 ,4.57 ,59.92 ,4.11 ,5.55 ,,,,,,,40.50 ,12.72 ,4.77 ,50.73 ,11.24 ,7.46 ,48.40 ,13.04 ,6.07 ,,,,,,,,,,,,,,,,,,,,
932,德康加系种猪,2023.10.9,DD,,,母,,98.00 ,,,73.68 ,,,,,,,,,,,,,,,,,,,,,,,5.12,22.57,,,,,83.00 ,,,,2.2,2.5,0.95,3.7,2.34 ,,,,,,,,,,,,,0.32,1.32,0.14,0.52,0.36,,,,,,0.82,,,,,,,,,,,,,,,,,18.5,14.8,31.8,31.2,11.3,9.4,7.4,,,,,,,,,,,,,,,5.64 ,5.54 ,6.05 ,,,,,,,,45.48 ,5.64 ,4.54 ,52.75 ,6.40 ,5.27 ,49.26 ,8.54 ,5.13 ,,,,,,,40.85 ,14.40 ,4.96 ,43.99 ,12.59 ,4.43 ,41.57 ,12.32 ,3.80 ,,,,,,,,,,,,,,,,,,,,
933,德康加系种猪,2023.10.9,LL,,,母,,122.00 ,,,92.96 ,,,,,,,,,,,,,,,,,,,,,,,5.72,27.7,,,,,91.00 ,,,,2.4,1.3,1.2,3,1.98 ,,,,,,,,,,,,,0.44,1.88,0.22,1.12,0.52,,,,,,1.28,,,,,,,,,,,,,,,,,19.5,16.6,31.8,31.9,11.4,9.5,7.3,,,,,,,,,,,,,,,6.45 ,5.51 ,5.79 ,,,,,,,,40.83 ,2.91 ,2.31 ,54.49 ,4.55 ,3.96 ,56.02 ,5.91 ,5.30 ,,,,,,,39.23 ,13.12 ,4.29 ,36.90 ,10.63 ,4.71 ,38.56 ,14.22 ,5.05 ,,,,,,,,,,,,,,,,,,,,
934,德康加系种猪,2023.10.9,YY,,,母,,112.00 ,,,85.80 ,,,,,,,,,,,,,,,,,,,,,,,5.12,24.87,,,,,86.00 ,,,,2,1.6,1.35,3.85,2.20 ,,,,,,,,,,,,,0.38,1.72,0.2,0.74,0.38,,,,,,1.72,,,,,,,,,,,,,,,,,18.9,16.3,31.4,29.6,12.6,9.4,7.5,,,,,,,,,,,,,,,6.41 ,5.56 ,5.82 ,,,,,,,,41.32 ,3.87 ,3.66 ,54.09 ,5.81 ,6.13 ,52.30 ,5.41 ,6.32 ,,,,,,,40.53 ,13.62 ,5.68 ,47.62 ,12.26 ,7.48 ,46.99 ,13.07 ,6.60 ,,,,,,,,,,,,,,,,,,,,
935,德康加系种猪,2023.10.9,LL,,,母,,118.00 ,,,89.16 ,,,,,,,,,,,,,,,,,,,,,,,5.7,26.87,,,,,87.00 ,,,,2,1.7,0.8,3.2,1.93 ,,,,,,,,,,,,,0.42,1.8,0.14,0.68,0.44,,,,,,1.5,,,,,,,,,,,,,,,,,21.5,18.8,32.7,30.8,11.6,9,8,,,,,,,,,,,,,,,6.18 ,5.63 ,5.83 ,,,,,,,,40.82 ,4.48 ,3.43 ,51.00 ,7.13 ,6.48 ,55.53 ,7.27 ,4.35 ,,,,,,,41.34 ,13.37 ,5.87 ,38.50 ,10.78 ,7.20 ,44.43 ,14.12 ,6.02 ,,,,,,,,,,,,,,,,,,,,
936,德康加系种猪,2023.10.9,YY,,,母,,122.00 ,,,92.38 ,,,,,,,,,,,,,,,,,,,,,,,6.08,26.14,,,,,87.00 ,,,,3,1.8,0.9,4.5,2.55 ,,,,,,,,,,,,,0.46,1.84,0.16,0.82,0.42,,,,,,1.2,,,,,,,,,,,,,,,,,18,16,33,31,10.5,9.5,7.5,,,,,,,,,,,,,,,5.63 ,5.63 ,5.73 ,,,,,,,,42.35 ,3.35 ,3.40 ,58.71 ,5.55 ,6.25 ,58.64 ,5.35 ,5.71 ,,,,,,,40.64 ,12.25 ,5.05 ,45.11 ,11.84 ,7.55 ,45.24 ,12.08 ,6.63 ,,,,,,,,,,,,,,,,,,,,
937,德康加系种猪,2023.10.9,LL,,,母,,112.00 ,,,82.06 ,,,,,,,,,,,,,,,,,,,,,,,5.3,24.8,,,,,87.00 ,,,,1.9,1.4,0.8,3,1.78 ,,,,,,,,,,,,,0.38,1.66,0.2,0.74,0.4,,,,,,1.44,,,,,,,,,,,,,,,,,19.2,16.3,31.7,29.4,12.1,8.1,7.3,,,,,,,,,,,,,,,5.73 ,5.73 ,5.73 ,,,,,,,,44.36 ,3.58 ,4.17 ,53.31 ,4.74 ,4.90 ,59.35 ,4.12 ,5.98 ,,,,,,,42.07 ,10.76 ,4.25 ,41.83 ,10.33 ,4.87 ,40.29 ,9.51 ,3.77 ,,,,,,,,,,,,,,,,,,,,
938,德康加系种猪,2023.10.9,DD,,,母,,102.00 ,,,75.34 ,,,,,,,,,,,,,,,,,,,,,,,5.66,22.82,,,,,80.00 ,,,,2.3,1.6,0.7,3.5,2.03 ,,,,,,,,,,,,,0.38,1.3,0.16,0.62,0.38,,,,,,0.82,,,,,,,,,,,,,,,,,18.2,15.4,30.5,31,11.3,9.6,7.8,,,,,,,,,,,,,,,5.76 ,5.76 ,5.81 ,,,,,,,,43.45 ,4.99 ,4.13 ,54.58 ,6.94 ,8.05 ,56.78 ,6.10 ,5.49 ,,,,,,,39.47 ,13.76 ,5.01 ,43.83 ,13.91 ,6.20 ,47.01 ,11.51 ,5.33 ,,,,,,,,,,,,,,,,,,,,
939,德康加系种猪,2023.10.9,DD,,,母,,116.00 ,,,86.66 ,,,,,,,,,,,,,,,,,,,,,,,5.52,24.3,,,,,86.00 ,,,,3.2,2.6,1.55,3.9,2.81 ,,,,,,,,,,,,,0.44,1.6,0.18,0.88,0.36,,,,,,1.56,,,,,,,,,,,,,,,,,18.8,17.3,32.5,29.3,12.1,9.6,7.6,,,,,,,,,,,,,,,5.73 ,5.72 ,5.77 ,,,,,,,,42.11 ,4.10 ,4.02 ,49.96 ,4.84 ,4.06 ,50.83 ,4.55 ,3.85 ,,,,,,,43.12 ,10.56 ,4.82 ,46.30 ,12.98 ,5.98 ,44.79 ,11.58 ,4.10 ,,,,,,,,,,,,,,,,,,,,
940,德康加系种猪,2023.10.9,DD,,,母,,114.00 ,,,85.15 ,,,,,,,,,,,,,,,,,,,,,,,5.54,25.48,,,,,84.00 ,,,,2.5,1.9,0.8,3.3,2.13 ,,,,,,,,,,,,,0.405,1.65,0.17,0.59,0.45,,,,,,1.2,,,,,,,,,,,,,,,,,19.6,15.8,32,31.4,11.1,9.5,7.5,,,,,,,,,,,,,,,6.35 ,5.81 ,5.77 ,,,,,,,,43.49 ,3.54 ,2.88 ,51.73 ,4.16 ,4.08 ,54.47 ,5.15 ,5.33 ,,,,,,,40.43 ,10.41 ,4.10 ,45.06 ,12.14 ,6.88 ,44.46 ,13.46 ,5.77 ,,,,,,,,,,,,,,,,,,,,
941,德康加系种猪,2023.10.9,YY,,,母,,116.00 ,,,86.34 ,,,,,,,,,,,,,,,,,,,,,,,5.44,25.26,,,,,84.00 ,,,,2.2,1.75,1.9,3,2.21 ,,,,,,,,,,,,,0.41,1.575,0.2,0.705,0.325,,,,,,1.995,,,,,,,,,,,,,,,,,18.8,18.2,33.7,29.8,11.8,8.9,7.1,,,,,,,,,,,,,,,5.78 ,5.56 ,5.48 ,,,,,,,,42.56 ,5.51 ,3.34 ,57.28 ,6.65 ,6.81 ,57.35 ,6.08 ,6.29 ,,,,,,,40.62 ,13.25 ,5.14 ,43.03 ,13.44 ,6.22 ,42.70 ,14.10 ,5.15 ,,,,,,,,,,,,,,,,,,,,
942,德康加系种猪,2023.10.9,DD,,,母,,96.00 ,,,70.08 ,,,,,,,,,,,,,,,,,,,,,,,5,21.26,,,,,80.00 ,,,,2.05,1.25,0.9,3,1.80 ,,,,,,,,,,,,,0.335,1.123,0.155,0.655,0.4,,,,,,0.575,,,,,,,,,,,,,,,,,19.2,15.7,31.4,27.8,11.8,9.1,7.2,,,,,,,,,,,,,,,6.26 ,5.73 ,5.57 ,,,,,,,,42.95 ,6.82 ,3.99 ,49.28 ,5.62 ,4.26 ,52.20 ,6.61 ,7.35 ,,,,,,,41.45 ,11.90 ,4.89 ,42.48 ,12.77 ,5.79 ,43.74 ,11.90 ,4.97 ,,,,,,,,,,,,,,,,,,,,
943,德康加系种猪,2023.10.9,YY,,,母,,112.00 ,,,82.96 ,,,,,,,,,,,,,,,,,,,,,,,5.04,23.94,,,,,80.00 ,,,,2.3,1.6,1.9,3.3,2.28 ,,,,,,,,,,,,,0.36,1.545,0.18,0.69,0.355,,,,,,1.52,,,,,,,,,,,,,,,,,18,15.6,30.9,27.9,11.2,8.2,6.4,,,,,,,,,,,,,,,6.08 ,5.63 ,5.57 ,,,,,,,,42.08 ,2.50 ,2.29 ,51.18 ,3.15 ,3.05 ,52.82 ,3.44 ,4.16 ,,,,,,,38.75 ,11.51 ,3.92 ,39.89 ,15.08 ,5.27 ,38.56 ,12.07 ,4.75 ,,,,,,,,,,,,,,,,,,,,
944,德康加系种猪,2023.10.9,YY,,,母,,112.00 ,,,84.04 ,,,,,,,,,,,,,,,,,,,,,,,4.88,23.44,,,,,84.00 ,,,,2.6,2.4,1.9,3.8,2.68 ,,,,,,,,,,,,,0.4,1.59,0.155,0.68,0.42,,,,,,1.6,,,,,,,,,,,,,,,,,18.5,17.8,29.4,28.2,11.6,8.3,6.2,,,,,,,,,,,,,,,6.66 ,5.63 ,5.38 ,,,2.83 ,6.53 ,5.23 ,,,43.67 ,4.53 ,4.03 ,52.73 ,4.23 ,4.40 ,62.07 ,3.01 ,5.89 ,,,,,,,39.12 ,13.27 ,4.99 ,42.66 ,15.08 ,7.47 ,44.21 ,14.44 ,5.77 ,,,,,,,,,,,,,,,,,,,,
945,德康加系种猪,2023.10.9,LL,,,公,,122.00 ,,,87.99 ,,,,,,,,,,,,,,,,,,,,,,,6.14,27.97,,,,,90.50 ,,,,2,1.1,0.7,2.7,1.63 ,,,,,,,,,,,,,0.55,1.78,0.16,1.045,0.465,,,,,,1.345,,,,,,,,,,,,,,,,,19.5,14.5,32,30.5,12.5,10.5,8.5,,,,,,,,,,,,,,,6.15 ,5.62 ,5.48 ,,,2.57 ,2.73 ,4.77 ,,,40.35 ,5.06 ,3.36 ,53.48 ,6.91 ,5.90 ,54.92 ,7.34 ,7.72 ,,,,,,,41.43 ,13.03 ,5.55 ,44.31 ,13.37 ,6.60 ,,,,,,,,,,,,,,,,,,,,,,,
