ID,公司,采样时间,猪种,ApH45min,ApH24h,ApH48h,BpH45min,BpH24h,BpH48h
408,铁骑力士,2020.11.11,YY,6.52667,5.56,5.44333,6.1,5.55667,5.62667
409,铁骑力士,2020.11.11,YY,6.71333,5.72333,5.35,5.81333,5.73,5.68
411,铁骑力士,2020.11.11,YY,6.45667,5.55333,5.49333,6.09333,6.17333,6.13667
412,铁骑力士,2020.11.11,YY,6.18333,5.53667,5.45333,5.66,5.56667,5.47333
413,铁骑力士,2020.11.11,YY,6.40333,5.5,5.47,5.92333,5.78,5.79333
416,铁骑力士,2020.11.11,DD,6.58,5.56333,5.58667,6.28,5.70333,5.67333
417,铁骑力士,2020.11.11,DD,6.34,5.91667,5.99,6.41667,6.38667,6.38667
418,铁骑力士,2020.11.11,DD,6.64333,5.63333,5.48,6.04,5.91333,5.74
419,铁骑力士,2020.11.11,DD,6.01333,5.47667,5.46667,6.02667,5.98333,5.98
420,铁骑力士,2020.11.11,DD,6.09667,5.59333,5.41667,6.53667,6.45333,6.37667
422,铁骑力士,2020.11.11,LL,6.77667,5.53667,5.44667,6.19,5.64333,5.50667
423,铁骑力士,2020.11.11,YY,6.34,5.54,5.47333,6.06667,6.03667,6.02667
424,铁骑力士,2020.11.11,YY,6.79,5.53333,5.48,5.91333,5.65,5.58667
425,铁骑力士,2020.11.11,YY,6.2,5.56333,5.49333,5.93,5.79333,5.71667
426,铁骑力士,2020.11.11,LL,6.33,5.53667,5.52667,6.10667,5.81333,5.76667
428,达州丽天,2021.4.20,DLY,6.34,5.58,5.56,6.35,5.64,5.61
429,达州丽天,2021.4.20,DLY,6.28,5.56,5.55,6.01,5.98,6.01
430,达州丽天,2021.4.20,DLY,6.39,5.57,5.61,6.25,5.6,5.64
431,达州丽天,2021.4.20,DLY,6.19,5.49,5.57,6.01,5.9,5.96
432,达州丽天,2021.4.20,DLY,5.82,5.43,5.5,5.97,5.85,5.88
433,达州丽天,2021.4.20,DLY,6.34,5.57,5.63,6.25,5.73,5.73
434,达州丽天,2021.4.20,YY,6.54,5.61,5.63,6.24,6.14,6.25
435,达州丽天,2021.4.20,YY,6.39,5.51,5.53,5.95,5.72,5.71
436,达州丽天,2021.4.20,YY,6.72,5.45,5.43,6.61,5.73,5.84
437,达州丽天,2021.4.20,LL,5.65,5.48,5.52,6.2,6.28,6.32
439,达州丽天,2021.4.20,LL,6.34,5.6,5.59,6.07,5.89,5.91
440,达州丽天,2021.4.20,YY,6.49,5.67,5.6,6.38,5.81,5.78
442,达州丽天,2021.4.20,YY,6.55,5.53,5.49,6.54,5.54,5.52
452,绵阳明兴,2021.9.14,DD,5.79,5.18333,5.31667,5.53,5.47,5.52
453,绵阳明兴,2021.9.14,DD,6.20667,5.27333,5.29333,5.78,5.45667,5.50333
454,绵阳明兴,2021.9.14,DD,6.15667,5.19667,5.26,5.79,5.37333,5.40667
455,绵阳明兴,2021.9.14,DD,5.59667,5.12333,5.22333,5.59667,5.3,5.37333
456,绵阳明兴,2021.9.14,YY,5.92667,5.08667,5.24,5.37333,5.20333,5.18333
458,绵阳明兴,2021.9.14,YY,6.15667,5.15333,5.24667,5.93333,5.62667,5.59
459,绵阳明兴,2021.9.14,YY,6.05,5.43333,5.28,6.1,5.87667,5.79333
460,绵阳明兴,2021.9.14,YY,6.21667,5.34667,5.41,6.29667,6.08667,6.09
461,绵阳明兴,2021.9.14,LL,6.18,5.81,5.87,6.10333,6.32,6.20333
462,绵阳明兴,2021.9.14,LL,6.18,5.18333,5.18,6.22333,5.24333,5.25333
463,绵阳明兴,2021.9.14,YY,6.32,5.14667,5.13,6.31667,5.47,5.53
464,绵阳明兴,2021.9.14,LL,6.24667,5.24333,5.26,6.05,5.19,5.24333
465,绵阳明兴,2021.9.14,YY,5.73,5.22,5.21667,5.90667,5.81333,5.88333
466,绵阳明兴,2021.9.14,YY,6.33,5.34333,5.40667,5.98667,6.04667,6.11
468,绵阳明兴,2021.9.14,LL,5.79667,5.25,5.28333,5.72333,5.28333,5.31333
469,绵阳明兴,2021.9.14,LL,5.73667,5.1,5.13333,6,5.33667,5.43667
470,绵阳明兴,2021.9.14,LL,6.08333,5.13,5.18,5.83667,5.29,5.35
471,绵阳明兴,2021.9.14,YY,5.84333,5.4,5.38333,5.79,5.89333,5.98667
472,绵阳明兴,2021.9.14,LL,6.59667,5.36333,5.31667,6.30333,6.10667,5.86
473,绵阳明兴,2021.9.14,YY,6.17333,5.14667,5.38333,5.87333,5.29667,5.3
474,绵阳明兴,2021.9.14,LL,5.98333,5.20667,5.20333,5.60333,5.21667,5.23
475,绵阳明兴,2021.9.14,YY,5.90333,5.15,5.21,5.99,5.87667,5.83333
476,绵阳明兴,2021.9.14,YY,6.21333,5.31333,5.18,5.75333,5.51333,5.5
477,绵阳明兴,2021.9.14,YY,6.10333,5.34,5.29333,6.04,5.46667,5.54667
478,绵阳明兴,2021.9.14,DD,6.16,5.39333,5.32667,6.02667,5.96333,6.04667
479,绵阳明兴,2021.9.14,DD,5.89333,5.22333,5.29667,5.81,5.4,5.28667
